Frame,X_metros,Y_metros,Velocidad_X,Velocidad_Y,Aceleracion_X,Aceleracion_Y,Velocidad_Y_Teorico,Posicion_Y_Teorico,Posicion_Ajuste_Viscoso_Y,Velocidad_Ajuste_Viscoso_Y,Aceleracion_Ajuste_Viscoso_Y,Fuerza_Rozamiento_Y,Fuerza_Rozamiento_Y_Teorico,Impulso,Impulso_Teorico,Trabajo_Experimental,Trabajo_Teorico,Energia_Potencial,Energia_Cinetica,Energia_Mecanica,Energia_Potencial_Teorico,Energia_Cinetica_Teorico,Energia_Mecanica_Teorico,Energia_Potencial_Ajuste,Energia_Cinetica_Ajuste,Energia_Mecanica_Ajuste
1,0.0008739036255814626,4.279335073328363,0.0,0.0,0.0,0.0,-0.16177279966299357,4.278647112547733,4.278648092487595,-0.16186478607641913,-5.8079659469570935,-0.0,0.020653161771007376,-0.0,0.00034421936285012293,-0.0,-5.5685330026476226e-05,4.198027706935124,0.0,4.198027706935124,4.197352817409326,0.0013085219355401527,4.198661339344866,4.197353778730331,0.0013100104485782465,4.19866378917891
2,-0.0004559497176946721,4.278290188558646,-0.07979120059656808,-0.06269308618298552,0.0,0.0,-0.32013976874332734,4.274626494340032,4.274634246959022,-0.32050268282579414,-5.8079659469570935,0.008003882318648544,0.04087150897408459,0.0001333980386441424,0.001025411179084866,-8.363134733358453e-06,-0.000273761920545714,4.197002674976033,0.00019652115275736252,4.19719919612879,4.193408590947572,0.005124473576551556,4.198533064524123,4.193416196266801,0.00513609848492658,4.198552294751727
3,-0.00170981144135503,4.275839458826038,-0.07751145200809478,-0.1048684350697382,0.13678491530839776,-2.5305209332051604,-0.4751726107781981,4.267994309571448,4.268020185274718,-0.47597802057581196,-5.8079659469570935,0.013388312242105184,0.060664195835135895,0.00035653657601256215,0.0020364811096704643,-3.1763323950934926e-05,-0.0007541946591414042,4.194598509108344,0.0005498694336987948,4.195148378542043,4.186902417689591,0.011289450501688447,4.198191868191279,4.186927801754499,0.011327753803563404,4.198255555558062
4,-0.002887681545399613,4.271982884130541,-0.0752317034196215,-0.14704378395643758,0.13678491530839734,-2.5305209332035616,-0.6269415197178942,4.258805540002078,4.25886619816186,-0.6283538471834432,-5.8079659469570935,0.01877274216555502,0.08004018385457219,0.0006694156121051458,0.0033704841739133342,-7.777024133863123e-05,-0.0015905365675461568,4.190815209332061,0.0010810937200113745,4.191896303052072,4.177888234742039,0.019652783457309142,4.197541018199349,4.177947740396784,0.0197414278635117,4.197689168260296
5,-0.004407513937715205,4.267385391143786,-0.07903128440041066,-0.2180959482972078,0.01519832392314846,-3.1080572422844455,-0.7755152117073969,4.247114009851572,4.247231178397767,-0.7776919536019063,-5.8079659469570935,0.027843808793363505,0.09900824586479505,0.0011334790919945376,0.005020621604993252,-0.00017898060605521033,-0.002870243246756399,4.186305068712055,0.0023782921331829167,4.188683360845237,4.166418843664393,0.030071192179478436,4.196490035843871,4.16653378600821,0.030240238734857483,4.196774024743068
6,-0.005471396612336125,4.26047015375875,-0.07523170341962192,-0.3073861013457524,0.045594971769457315,-4.050353325520284,-0.9209609561988614,4.2329724101690145,4.233172653223917,-0.9240528989379398,-5.8079659469570935,0.03924327755023298,0.11757697000225574,0.001787533717831754,0.006980237771697514,-0.0003800279075584671,-0.004674973225427104,4.1795212208373345,0.004724310765027058,4.184245531602362,4.152545934375803,0.042408454142136065,4.19495438851794,4.152742372812663,0.04269368800178053,4.195436060814444
7,-0.005699371471183479,4.251199176165625,-0.056233798515677315,-0.41567415929831597,0.37995809807888375,-5.372607506837568,-1.063344606409096,4.2164323226897755,4.216746816008364,-1.0674960350095306,-5.8079659469570935,0.053068165191552115,0.1357547635958916,0.002672003137690956,0.009242817164962374,-0.0007476789900835101,-0.007080874819827657,4.170426391818478,0.008639250335418088,4.179065642153896,4.13632010855867,0.05653508759896575,4.192855196157636,4.136628626504205,0.056977389238053455,4.193606015742258
8,-0.00645928766734129,4.2390405170271,-0.0410354745925217,-0.5668974823337081,0.7599161961577791,-6.976030680730005,-1.2027306291358044,4.197544243190071,4.198008557174014,-1.2080795304140746,-5.8079659469570935,0.07237449951169504,0.15354985697369727,0.0038782447962192063,0.011801981447857329,-0.0014314943493892117,-0.010158860087855786,4.158498747203586,0.016068637773814842,4.174567384977401,4.11779090256946,0.0723280483130704,4.190118950882531,4.118246394587708,0.07297280759027455,4.191219202177983
9,-0.008283086538120033,4.223766201484328,-0.05623379851567816,-0.7340790454884427,0.3799580980788751,-8.533858882853806,-1.3391821339461096,4.17635760434986,4.177011494409774,-1.3458603941167167,-5.8079659469570935,0.09371818569477143,0.1709703071891564,0.00544021455779873,0.014651486567676602,-0.002578103621051319,-0.013974866434905725,4.143514643656126,0.026943602251261158,4.170458245907388,4.097006809867214,0.0896704393940228,4.186677249261236,4.097648276015988,0.0905670100226002,4.188215286038589
10,-0.011170768083519713,4.204844288199999,-0.10942793224672469,-0.9270977593125274,-1.0638826746209473,-10.228472000284228,-1.4727609017505585,4.15292079813438,4.153808002181194,-1.4808944985684436,-5.8079659469570935,0.11836044156068459,0.18802400166921932,0.007412888583810139,0.017785219928830257,-0.00440696529042052,-0.018590106405724192,4.124952246724199,0.04297551276611545,4.167927759490314,4.074015302969827,0.10845123368625592,4.182466536656083,4.074885650139751,0.10965242579451409,4.184538075934265
